Vacancy;Company;Salary range;Curr;Brutto/netto;Link
Jaunesnysis projektų vadovas (-ė);UAB „People Link“;2200-3200;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/jaunesnysis-projektu-vadovas-e-vilniuje/1-11067609
Produkto vadovas (-ė);UAB „Artilux NMF“;2500-3500;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/produkto-vadovas-e-vilniuje/1-11068017
Inovacijų diegimo skyriaus vadovas (-ė);UAB „Verslo investicijos personalui“;3100-4499;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/inovaciju-diegimo-skyriaus-vadovas-e-vilniuje/1-11067721
Veiklos efektyvinimo vadovas (-ė);UAB „Verslo investicijos personalui“;3500-5000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/veiklos-efektyvinimo-vadovas-e-vilniuje/1-11067693
Rinkodaros ir el. komercijos projektų vadovas;Pop trade, UAB;1000-1300;€/mėn.;Į rankas;https://www.cvbankas.lt/rinkodaros-ir-el-komercijos-projektu-vadovas-vilniuje/1-11053693
Projektų valdymo vadovas (-ė) (vyriausiasis patarėja (-s));Lietuvos Respublikos ryšių reguliavimo tarnyba;3150-3900;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projektu-valdymo-vadovas-e-vyriausiasis-patareja-s-vilniuje/1-11067203
Vyr. buhalteris (-ė);UAB „Manpower Lit“;3000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/vyr-buhalteris-e-vilniuje/1-11067101
IT Infrastruktūros Vadovas (-ė);UAB „Longo Shared Services“;1500-2350;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/it-infrastrukturos-vadovas-e-vilniuje/1-11066875
Darbų vadovas (-ė);UAB „Naresta“;Nuo 2807;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/darbu-vadovas-e-vilniuje/1-11065043
Statybos vadovas (-ė);UAB „Naresta“;Nuo 3306;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statybos-vadovas-e-vilniuje/1-11065039
Statinio statybos vadovas (-ė);UAB „Naresta“;Nuo 4000;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/statinio-statybos-vadovas-e-vilniuje/1-11064983
Projekto vadovas (-ė);UAB „Naresta“;Nuo 4800;€/mėn.;Neatskaičius mokesčių;https://www.cvbankas.lt/projekto-vadovas-e-vilniuje/1-11064801
